Code,Concepts,SubCategory,Six C (Categories),Occurences by Code
discussions of developers community influences the adoption of modern features,Community-Driven Adoption,Drivers for Source Code Rejuvenation,Causes,4
Minimizing dependency on third-party libraries,Dependency and Architectural Simplification,Drivers for Source Code Rejuvenation,Causes,6
Framework/libraries dependencies motivate SCR efforts,Dependency and Framework Pressure,Drivers for Source Code Rejuvenation,Causes,5
language version support discontinuity,Language Evolution Enforcement,Drivers for Source Code Rejuvenation,Causes,9
bug fixes in the language implementation,Language Evolution Enforcement,Drivers for Source Code Rejuvenation,Causes,1
Avoiding system obsolescence,System Obsolescence,Drivers for Source Code Rejuvenation,Causes,14
Relevance of regression/automated testing,Availability of Automated and Regression Testing,Conditionally Factors,Conditions,23
Backward compatibility constraints hindering SCR,Compatibility & Legacy Constraints,Challenges & Impediments,Conditions,29
Lack of retrocompatibility might hinder SCR efforts,Compatibility & Legacy Constraints,Challenges & Impediments,Conditions,5
Transpilation overhead constraining adoption,Compatibility & Legacy Constraints,Challenges & Impediments,Conditions,1
application domain may influence SCR efforts,Contextual & Domain Factors,Conditionally Factors,Conditions,2
SCR is a non-trivial effort,"Effort, Cost & Practical Constraints",Challenges & Impediments,Conditions,17
Project complexity might hinder SCR efforts,"Effort, Cost & Practical Constraints",Challenges & Impediments,Conditions,17
Version gap increases rejuvenation cost,"Effort, Cost & Practical Constraints",Challenges & Impediments,Conditions,4
Framework/library dependencies hinder SCR efforts,External Dependencies & Environment Constraints,Challenges & Impediments,Conditions,19
environment configurations might hinder SCR efforts,External Dependencies & Environment Constraints,Challenges & Impediments,Conditions,4
Non active communities might hinder SCR efforts,External Dependencies & Environment Constraints,Challenges & Impediments,Conditions,1
Uniform knowledge,Human & Knowledge Factors,Conditionally Factors,Conditions,11
Resistance to change,Human & Knowledge Factors,Disablers,Conditions,7
Programming language flexibility,Language & Architectural Enablers,Enablers,Conditions,4
Service oriented computing favors SCR efforts,Language & Architectural Enablers,Enablers,Conditions,1
Difficulty in following language evolution,Unpredictability and Interaction Complexity in Language Evolution,Challenges & Impediments,Conditions,5
Language evolution might introduce breaking changes,Unpredictability and Interaction Complexity in Language Evolution,Challenges & Impediments,Conditions,4
Upgrading language implementation (compiler) might compromise performance,Unpredictability and Interaction Complexity in Language Evolution,Challenges & Impediments,Conditions,4
Programming language complexity might hinder SCR efforts,Unpredictability and Interaction Complexity in Language Evolution,Challenges & Impediments,Conditions,4
Language evolution introducing silent behavior changes,Unpredictability and Interaction Complexity in Language Evolution,Challenges & Impediments,Conditions,1
New language features might hinder debbuging,Unpredictability and Interaction Complexity in Language Evolution,Challenges & Impediments,Conditions,1
Language evolution triggering hidden regressions,Unpredictability and Interaction Complexity in Language Evolution,Challenges & Impediments,Conditions,1
Keep the systems running and evolutive maintenances are more important than SCR efforts,Organizational & Managerial Constraints,Disablers,Conditions,34
Organizational Influence SCR efforts,Organizational & Managerial Constraints,Conditionally Factors,Conditions,9
Company Restrictions may hinder SCR efforts,Organizational & Managerial Constraints,Disablers,Conditions,2
Companies may not consider SCR efforts Relevant,Organizational & Managerial Constraints,Disablers,Conditions,2
Management approval required,Organizational & Managerial Constraints,Conditionally Factors,Conditions,1
Language evolution is not that relevante to motivate maintenance efforts,Perceived Relevance & Motivation,Disablers,Conditions,3
Fear / risk aversion about upgrading,"Risk, Uncertainty & Fear Factors",Challenges & Impediments,Conditions,10
SCR efforts may introduce bugs,"Risk, Uncertainty & Fear Factors",Challenges & Impediments,Conditions,8
trustness and reliability in legacy systems may hinder SCR efforts,"Risk, Uncertainty & Fear Factors",Challenges & Impediments,Conditions,2
code standards might prevent source code rejuvenation efforts,"Standards, Governance & Process Constraints",Challenges & Impediments,Conditions,5
SCR might difficult code understanding,Technical Debt & System Quality Constraints,Challenges & Impediments,Conditions,7
Lack of code internal quality might hinder SCR efforts,Technical Debt & System Quality Constraints,Challenges & Impediments,Conditions,2
Feature interactions create unexpected side effects,Technical Debt & System Quality Constraints,Challenges & Impediments,Conditions,1
Non modular architecture might hinder SCR efforts,Technical Debt & System Quality Constraints,Challenges & Impediments,Conditions,1
Lack of trust in programming transformation tools,Tooling Constraints and Control Mechanisms,Tooling Support for Source Code Rejuvenation,Conditions,13
Tool configurability influencing SCR adoption and control,Tooling Constraints and Control Mechanisms,Tooling Support for Source Code Rejuvenation,Conditions,7
Improve code expressiveness,Code Readability and Expressiveness,Code Quality Improvements,Consequences,76
Improve code understanding,Code Readability and Expressiveness,Code Quality Improvements,Consequences,47
Reducing cognitive load for newcomers,Code Readability and Expressiveness,Code Quality Improvements,Consequences,2
Lack of SCR may introduce technical debt,Degradation effects,Challenges & Impediments,Consequences,4
Improve development productivity,Development Productivity improvements,Development Efficiency Gains,Consequences,21
Improve code maintenance,Maintainability and Testability impacts,Code Quality Improvements,Consequences,18
Improve code standardization,Maintainability and Testability impacts,Code Quality Improvements,Consequences,3
Improve code testability,Maintainability and Testability impacts,Code Quality Improvements,Consequences,1
Improve code performance,Performance and Efficiency,Code Quality Improvements,Consequences,18
Improve concurrency/asyncronous programming,Performance and Efficiency,Code Quality Improvements,Consequences,7
Help on bug prevention,Reliability and Correctness,Code Quality Improvements,Consequences,17
Improve code security,Reliability and Correctness,Code Quality Improvements,Consequences,16
Delayed adoption of new versions,Adoption Strategy and Timing,Strategic Decision-Making for Rejuvenation,Contingencies,18
Reactive approach,Adoption Strategy and Timing,Strategic Decision-Making for Rejuvenation,Contingencies,7
earlier adoption of modern features (even before their official release),Adoption Strategy and Timing,Strategic Decision-Making for Rejuvenation,Contingencies,6
Relevance of CI/CD to SCR efforts,CI/CD Infrastructure and Continuous Validation,Automating Validation through CI/CD Pipelines,Contingencies,2
Reducing technical debt,Continuous Technical Debt Management,Execution and Operational Strategies,Contingencies,3
Analyse costs/benefits before rejuvenate,Decision-Making and Strategic Evaluation,Strategic Decision-Making for Rejuvenation,Contingencies,38
Company/Team decision-making,Decision-Making and Strategic Evaluation,Strategic Decision-Making for Rejuvenation,Contingencies,12
Recommendation to stick with LTS versions for complex systems,Decision-Making and Strategic Evaluation,Strategic Decision-Making for Rejuvenation,Contingencies,2
Incremental SCR effort,Execution Strategy and Effort Management,Execution and Operational Strategies,Contingencies,30
SCR requires careful planning,Execution Strategy and Effort Management,Execution and Operational Strategies,Contingencies,18
Manual SCR effort,Execution Strategy and Effort Management,Execution and Operational Strategies,Contingencies,13
Use code review to recommend adoption of modern features,"Knowledge, Experience, and Team Dynamics",Human and Social Strategies,Contingencies,12
Team cohesion,"Knowledge, Experience, and Team Dynamics",Human and Social Strategies,Contingencies,4
Prior knowledge reduces adoption effort,"Knowledge, Experience, and Team Dynamics",Human and Social Strategies,Contingencies,2
Reliance on static analysis to detect SCR opportunities,Selective and Human-Controlled Use of Tool Support,Tooling Support for Source Code Rejuvenation,Contingencies,14
Using tooling to support and partially automate SCR,Selective and Human-Controlled Use of Tool Support,Tooling Support for Source Code Rejuvenation,Contingencies,11
LLM-based support for source code rejuvenation,Selective and Human-Controlled Use of Tool Support,Tooling Support for Source Code Rejuvenation,Contingencies,11
Legacy constraint removal enabling SCR,Managing Technical Constraints and Compatibility,Handling Technical and System Constraints,Contingencies,2
Disabling warnings to keep systems compiling,Managing Technical Constraints and Compatibility,Handling Technical and System Constraints,Contingencies,1